Title,Author,PDF URL
Concentration of risk measures- A Wasserstein distance approach,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/091bc5440296cc0e41dd60ce22fbaf88-Abstract.html
Interior-Point Methods Strike Back- Solving the Wasserstein Barycenter Problem,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0937fb5864ed06ffb59ae5f9b5ed67a9-Abstract.html
Coda- An End-to-End Neural Program Decompiler,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/093b60fd0557804c8ba0cbf1453da22f-Abstract.html
GPipe- Efficient Training of Giant Neural Networks using Pipeline Parallelism,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/093f65e080a295f8076b1c5722a46aa2-Abstract.html
DiskANN- Fast Accurate Billion-point Nearest Neighbor Search on a Single Node,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/09853c7fb1d3f8ee67a61b6bf4a7f8e6-Abstract.html
Linear Stochastic Bandits Under Safety Constraints,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/09a8a8976abcdfdee15128b4cc02f33a-Abstract.html
Power analysis of knockoff filters for correlated designs,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/09ab23b6b607496f095feed7aaa1259b-Abstract.html
Implicitly learning to reason in first-order logic,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/09fb05dd477d4ae6479985ca56c5a12d-Abstract.html
Low-Rank Bandit Methods for High-Dimensional Dynamic Pricing,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0a3df70393993583a13c0dd6686f3f32-Abstract.html
Learning Stable Deep Dynamics Models,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0a4bbceda17a6253386bc9eb45240e25-Abstract.html
Beyond the Single Neuron Convex Barrier for Neural Network Certification,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0a9fdbb17feb6ccb7ec405cfb85222c4-Abstract.html
Variational Mixture-of-Experts Autoencoders for Multi-Modal Deep Generative Models,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0ae775a8cb3b499ad1fca944e6f5c836-Abstract.html
Language as an Abstraction for Hierarchical Deep Reinforcement Learning,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0af787945872196b42c9f73ead2565c8-Abstract.html
High-dimensional multivariate forecasting with low-rank Gaussian Copula Processes,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0b105cf1504c4e241fcc6d519ea962fb-Abstract.html
Learning Macroscopic Brain Connectomes via Group-Sparse Factorization,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0bfce127947574733b19da0f30739fcd-Abstract.html
Optimal Sketching for Kronecker Product Regression and Low Rank Approximation,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0c215f194276000be6a6df6528067151-Abstract.html
Deep Gamblers- Learning to Abstain with Portfolio Theory,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0c4b1eeb45c90b52bfb9d07943d855ab-Abstract.html
DRUM- End-To-End Differentiable Rule Mining On Knowledge Graphs,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0c72cb7ee1512f800abe27823a792d03-Abstract.html
Combinatorial Inference against Label Noise,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0cb929eae7a499e50248a3a78f7acfc7-Abstract.html
Localized Structured Prediction,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0cbed40c0d920b94126eaf5e707be1f5-Abstract.html
Fast Low-rank Metric Learning for Large-scale and High-dimensional Data,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0d0fd7c6e093f7b804fa0150b875b868-Abstract.html
Wide Neural Networks of Any Depth Evolve as Linear Models Under Gradient Descent,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0d1a9651497a38d8b1c3871c84528bd4-Abstract.html
Retrosynthesis Prediction with Conditional Graph Logic Network,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0d2b2061826a5df3221116a5085a6052-Abstract.html
Efficient Pure Exploration in Adaptive Round model,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0d441de75945e5acbc865406fc9a2559-Abstract.html
Unsupervised Emergence of Egocentric Spatial Structure from Sensorimotor Prediction,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0dd1bc593a91620daecf7723d2235624-Abstract.html
Adversarial Robustness through Local Linearization,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0defd533d51ed0a10c5c9dbf93ee78a5-Abstract.html
Generalized Off-Policy Actor-Critic,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0e095e054ee94774d6a496099eb1cf6a-Abstract.html
Average Individual Fairness- Algorithms, Generalization and Experiments,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0e1feae55e360ff05fef58199b3fa521-Abstract.html
Comparing distributions- $-ell_1$ geometry improves kernel two-sample testing,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0e2db0cb2c4645904a054261104b7a14-Abstract.html
Nonstochastic Multiarmed Bandits with Unrestricted Delays,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0e4f5cc9f4f3f7f1651a6b9f9214e5b1-Abstract.html
Approximate Bayesian Inference for a Mechanistic Model of Vesicle Release at a Ribbon Synapse,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0e57098d0318a954d1443e2974a38fac-Abstract.html
Data-dependent Sample Complexity of Deep Neural Networks via Lipschitz Augmentation,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0e79548081b4bd0df3c77c5ba2c23289-Abstract.html
Semi-supervisedly Co-embedding Attributed Networks,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0e7c7d6c41c76b9ee6445ae01cc0181d-Abstract.html
Adaptive Auxiliary Task Weighting for Reinforcement Learning,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0e900ad84f63618452210ab8baae0218-Abstract.html
Continuous Hierarchical Representations with Poincaré Variational Auto-Encoders,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0ec04cb3912c4f08874dd03716f80df1-Abstract.html
Training Image Estimators without Image Ground Truth,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0ed9422357395a0d4879191c66f4faa2-Abstract.html
On the Convergence Rate of Training Recurrent Neural Networks,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0ee8b85a85a49346fdff9665312a5cc4-Abstract.html
Minimizers of the Empirical Risk and Risk Monotonicity,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0f9cafd014db7a619ddb4276af0d692c-Abstract.html
Factor Group-Sparse Regularization for Efficient Low-Rank Matrix Recovery,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0fc170ecbb8ff1afb2c6de48ea5343e7-Abstract.html
Möbius Transformation for Fast Inner Product Search on Graph,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/0fd7e4f42a8b4b4ef33394d35212b13e-Abstract.html
The Label Complexity of Active Learning from Observational Data,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/1019c8091693ef5c5f55970346633f92-Abstract.html
Hyperbolic Graph Neural Networks,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/103303dd56a731e377d01f6a37badae3-Abstract.html
Learning Fairness in Multi-Agent Systems,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/10493aa88605cad5ab4752b04a63d172-Abstract.html
On Robustness to Adversarial Examples and Polynomial Optimization,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/107878346e1d8f8fe6af7a7a588aa807-Abstract.html
In-Place Zero-Space Memory Protection for CNN,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/1091660f3dff84fd648efe31391c5524-Abstract.html
Non-Asymptotic Gap-Dependent Regret Bounds for Tabular MDPs,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/10a5ab2db37feedfdeaab192ead4ac0e-Abstract.html
Discovery of Useful Questions as Auxiliary Tasks,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/10ff0b5e85e5b85cc3095d431d8c08b4-Abstract.html
Sequential Neural Processes,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/110209d8fae7417509ba71ad97c17639-Abstract.html
Deconstructing Lottery Tickets- Zeros, Signs, and the Supermask,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/1113d7a76ffceca1bb350bfe145467c6-Abstract.html
Fast and Flexible Multi-Task Classification using Conditional Neural Adaptive Processes,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/1138d90ef0a0848a542e57d1595f58ea-Abstract.html
A Simple Baseline for Bayesian Uncertainty in Deep Learning,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/118921efba23fc329e6560b27861f0c2-Abstract.html
